task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
409	09/21f8e5	93898794	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (SURSU12211)	COMPLETED	0	2024-01-24 01:56:57.898	13s	140ms	44.9%	3 MB	35.2 MB	96.6 KB	893 B
384	46/93c856	93898795	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (SALTR86773)	COMPLETED	0	2024-01-24 01:57:11.854	14.1s	175ms	37.0%	3 MB	35.2 MB	96.5 KB	893 B
414	3f/f1b0e3	93898796	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SALTR86773)	COMPLETED	0	2024-01-24 01:57:12.872	33s	1.3s	103.7%	50.4 MB	308.9 MB	10.1 MB	633 B
397	7c/0e8386	93898797	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (SINGR69938)	COMPLETED	0	2024-01-24 01:57:26.999	33.8s	125ms	43.4%	2.9 MB	35.7 MB	98.5 KB	906 B
406	50/63d95a	93898799	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SALSA77450)	COMPLETED	0	2024-01-24 01:58:01.925	8.9s	1.3s	102.4%	50.6 MB	313.1 MB	10.1 MB	633 B
339	84/eb241e	93898798	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (PROCO24698)	COMPLETED	0	2024-01-24 01:57:46.868	34s	289ms	38.9%	1.5 MB	19.6 MB	97.3 KB	899 B
413	a7/c0a85a	93898800	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TACAU30629)	COMPLETED	0	2024-01-24 01:58:11.884	14s	118ms	45.7%	3 MB	35.7 MB	98.5 KB	906 B
422	e1/b60104	93898802	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TURTR00934)	COMPLETED	0	2024-01-24 01:58:26.935	13.9s	149ms	65.8%	2.8 MB	34.7 MB	97.4 KB	900 B
421	3c/3476fa	93898803	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SERCA11088)	COMPLETED	0	2024-01-24 01:58:41.912	14s	1.3s	93.4%	8.5 MB	44 MB	10.1 MB	629 B
420	92/340280	93898801	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:TCOFFEE_SEQREFORMAT_SIM (TETNG13660)	COMPLETED	0	2024-01-24 01:58:21.892	39s	147ms	43.5%	3 MB	35.2 MB	96.6 KB	893 B
423	1f/6d6a54	93898804	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SERDU19846)	COMPLETED	0	2024-01-24 01:58:56.886	13.9s	1.3s	92.1%	8.5 MB	44 MB	10.1 MB	629 B
387	c9/356df3	93898805	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (RHIBE33586)	COMPLETED	0	2024-01-24 01:59:01.922	8.9s	1s	93.3%	9.3 MB	50.3 MB	10.1 MB	641 B
403	69/d09d8d	93898806	NFCORE_GETSTRUCTURES:GETSTRUCTURES:STATS:CALCULATE_SEQSTATS (SALFA40234)	COMPLETED	0	2024-01-24 01:59:11.877	14s	1.3s	93.2%	8.8 MB	50.3 MB	10.1 MB	629 B
